FileName,R1,G1,B1,Count1,R2,G2,B2,Count2,R3,G3,B3,Count3,R4,G4,B4,Count4,R5,G5,B5,Count5
Normal_2.jpg,0,0,0,75012,176,135,130,57055,142,115,115,51451,97,87,94,40193,224,161,142,38433
Normal_20.jpg,0,0,0,75509,68,65,71,65364,113,99,101,47027,174,125,117,43610,213,166,155,30634
Normal_200.jpg,160,141,111,84549,0,0,0,60316,123,98,77,46215,217,129,91,39716,80,64,50,31348
Normal_201.jpg,146,136,103,79714,0,0,0,62920,127,96,72,48407,177,120,87,38958,83,68,51,32145
Normal_202.jpg,0,0,0,75202,115,77,102,66569,117,101,146,61865,74,49,64,36199,175,90,98,22309
Normal_203.jpg,0,0,0,73976,103,104,122,61101,139,87,78,47954,70,54,57,40587,132,142,164,38526
Normal_204.jpg,0,0,0,74669,100,76,81,68143,52,44,51,47470,129,122,134,37176,154,105,103,34686
Normal_205.jpg,0,0,0,74542,128,79,68,52753,75,55,55,49890,124,112,113,49718,196,98,69,35241
Normal_206.jpg,145,114,110,78597,0,0,0,76291,91,82,88,53819,227,148,119,35966,253,216,159,17471
Normal_207.jpg,165,124,85,64468,0,0,0,60863,63,54,37,51688,224,157,103,45341,121,86,59,39784
Normal_208.jpg,0,0,0,75231,150,126,106,62389,80,75,69,50200,113,101,87,47025,187,119,75,27299
Normal_209.jpg,150,133,114,75608,0,0,0,61166,173,109,88,48413,126,91,77,45398,88,65,52,31559
Normal_21.jpg,71,60,62,66680,0,0,0,56282,161,109,97,52821,112,82,78,49013,217,133,112,37348
Normal_210.jpg,0,0,0,74706,90,82,90,64609,237,156,127,48171,158,115,110,43969,253,216,155,30689
Normal_211.jpg,127,95,91,88058,0,0,0,75597,66,53,58,52915,209,119,86,29801,253,201,120,15773
Normal_212.jpg,0,0,0,73996,125,107,100,64076,115,136,153,57318,72,62,64,42692,221,152,103,24062
Normal_213.jpg,126,106,107,74171,0,0,0,72851,141,156,173,55851,80,66,71,36823,211,132,96,22448
Normal_214.jpg,0,0,0,74010,128,118,110,51603,94,82,77,51164,54,49,47,45459,170,155,142,39908
Normal_215.jpg,76,54,46,99739,0,0,0,60839,141,68,53,50899,210,88,63,32354,234,149,96,18313
Normal_216.jpg,0,0,0,74060,106,109,111,63885,140,129,126,58497,169,153,147,46228,89,86,87,19474
Normal_217.jpg,135,123,123,88027,0,0,0,74618,149,165,173,40396,85,75,74,37774,231,163,117,21329
Normal_218.jpg,112,88,70,77703,0,0,0,60485,68,54,43,54974,155,91,71,41355,212,104,76,27627
Normal_219.jpg,0,0,0,75585,128,85,56,61907,108,103,88,53175,75,57,43,39190,144,155,131,32287
Normal_22.jpg,102,95,103,75772,0,0,0,74239,137,127,133,49541,78,62,64,32539,176,113,90,30053
