FileName,R1,G1,B1,R2,G2,B2,R3,G3,B3,R4,G4,B4,R5,G5,B5
Normal_1.jpg,156,118,95,67,50,43,105,90,78,244,161,81,0,0,0
Normal_10.jpg,149,113,110,0,0,0,214,155,139,69,59,68,105,81,85
Normal_100.jpg,128,92,90,154,141,151,0,0,0,112,114,131,75,56,61
Normal_101.jpg,142,144,145,0,0,0,223,144,111,56,47,50,113,97,96
Normal_102.jpg,153,142,133,101,97,97,127,119,114,0,0,0,76,68,67
Normal_103.jpg,121,108,94,0,0,0,90,82,75,197,152,122,165,129,108
Normal_104.jpg,140,131,137,0,0,0,60,70,81,103,104,110,186,155,152
Normal_105.jpg,88,63,58,0,0,0,130,112,102,179,120,89,148,95,74
Normal_106.jpg,133,123,117,182,121,92,0,0,0,216,175,120,126,87,71
Normal_107.jpg,0,0,0,163,131,127,135,107,109,96,88,97,187,144,137
Normal_108.jpg,94,90,99,168,132,128,135,115,118,190,151,141,0,0,0
Normal_109.jpg,161,115,103,88,64,72,0,0,0,121,86,89,48,39,53
Normal_110.jpg,0,0,0,128,124,134,185,148,145,167,120,115,119,90,91
Normal_111.jpg,0,0,0,131,123,145,106,98,110,171,129,137,140,106,111
Normal_112.jpg,0,0,0,218,125,55,158,114,65,109,96,58,85,64,38
Normal_113.jpg,0,0,0,69,65,65,225,175,146,151,118,105,212,222,222
Normal_114.jpg,105,82,84,0,0,0,131,124,133,161,119,118,194,146,130
Normal_115.jpg,0,0,0,85,93,98,149,140,127,118,116,112,177,159,140
Normal_116.jpg,99,83,87,169,122,118,0,0,0,209,157,135,131,106,107
Normal_117.jpg,152,96,88,0,0,0,141,116,122,184,132,123,98,71,73
Normal_118.jpg,124,94,57,191,134,77,152,124,83,0,0,0,171,148,107
