FileName,Y,Cb,Cr,Count
laser_scars_1.png,22.316513,129.61009,124.90825,218
laser_scars_1.png,91.821594,136.38498,115.58216,213
laser_scars_1.png,54.262856,132.12,120.38857,175
laser_scars_1.png,204.05128,142.35898,102.5641,39
laser_scars_10.png,0.030847536,128.00764,128.01714,42240
laser_scars_10.png,106.16485,142.96962,111.037766,11520
laser_scars_10.png,126.30101,141.78917,109.41439,10425
laser_scars_10.png,143.42865,143.46928,108.570755,9915
laser_scars_10.png,133.4397,142.01543,109.006645,9329
laser_scars_10.png,120.39646,143.665,109.45998,8770
laser_scars_10.png,113.64199,142.03613,110.82152,8578
laser_scars_10.png,86.287346,139.8057,114.75715,6922
laser_scars_10.png,138.13594,149.10721,108.47958,6856
laser_scars_10.png,129.70824,150.89958,107.938934,6632
laser_scars_10.png,96.993645,148.41144,110.03224,6295
laser_scars_10.png,77.38861,137.07191,117.32339,6271
laser_scars_10.png,131.96944,160.4345,104.15596,6053
laser_scars_10.png,68.47474,135.10516,119.26698,5858
laser_scars_10.png,85.29694,162.23573,106.21046,5816
laser_scars_10.png,95.753716,138.57259,114.109055,5786
laser_scars_10.png,79.881996,155.65858,109.652374,5483
laser_scars_10.png,110.47681,151.47296,107.408295,5474
laser_scars_10.png,119.65277,155.74387,105.815414,5423
laser_scars_10.png,106.01444,160.98799,103.96287,5332
laser_scars_10.png,95.3094,158.531,106.63934,5307
laser_scars_10.png,56.2466,144.75981,115.89634,5296
laser_scars_10.png,59.638027,132.79501,121.031624,5249
laser_scars_10.png,45.31612,135.14462,120.774,5248
laser_scars_10.png,50.26571,139.53104,118.53583,5220
laser_scars_10.png,51.594746,130.51804,122.46675,4797
laser_scars_10.png,70.948364,154.7852,110.69277,4609
laser_scars_10.png,64.09165,148.98335,113.5383,4386
laser_scars_10.png,132.41927,168.82683,99.62375,4279
laser_scars_10.png,122.59581,164.82956,101.51204,4154
laser_scars_10.png,107.715546,171.033,100.91299,3758
laser_scars_10.png,96.256134,167.17181,103.3842,3748
laser_scars_10.png,138.26048,177.08864,95.72865,2764
laser_scars_10.png,40.687332,131.10945,123.03559,2613
laser_scars_10.png,124.27681,178.3549,96.545456,1716
laser_scars_10.png,148.32396,181.64984,92.14505,1565
laser_scars_10.png,1.4843602,128.78198,127.24929,1055
laser_scars_10.png,4.1505017,128.41974,127.16388,598
laser_scars_10.png,31.328997,130.64497,124.70632,538
laser_scars_10.png,17.908628,129.60913,125.766495,394
laser_scars_100.png,0.1537417,128.05856,127.98066,45661
laser_scars_100.png,161.7931,132.02629,117.606255,12325
laser_scars_100.png,158.52322,138.50745,118.1804,11475
