FileName,R,G,B,Count
Stage_1_ROP_41.png,156.29677,176.7316,194.96967,63324
Stage_1_ROP_41.png,145.99274,147.85216,159.36728,54404
Stage_1_ROP_41.png,81.964424,81.55766,94.499306,36124
Stage_1_ROP_41.png,119.928314,116.71779,126.38121,33089
Stage_1_ROP_42.png,187.72781,146.85782,137.91249,62409
Stage_1_ROP_42.png,148.832,117.95975,114.05364,58679
Stage_1_ROP_42.png,112.24804,87.529854,85.599365,46868
Stage_1_ROP_42.png,72.82869,59.57796,57.361195,34364
Stage_1_ROP_43.png,118.42413,116.24792,118.83634,60283
Stage_1_ROP_43.png,98.63004,66.319305,54.285213,50923
Stage_1_ROP_43.png,153.39125,96.05785,77.4524,47348
Stage_1_ROP_43.png,206.77814,110.08419,79.417,29554
Stage_1_ROP_44.png,133.4428,136.53246,142.44505,59151
Stage_1_ROP_44.png,191.24866,149.65752,137.53125,44527
Stage_1_ROP_44.png,148.89754,113.94239,108.63034,43765
Stage_1_ROP_44.png,84.88983,86.510216,98.07803,39458
Stage_1_ROP_45.png,131.33577,132.79398,135.41841,71776
Stage_1_ROP_45.png,147.30634,116.245056,109.22302,57182
Stage_1_ROP_45.png,103.04985,90.68689,91.84437,36393
Stage_1_ROP_45.png,189.90157,128.22424,109.91733,21508
Stage_1_ROP_47.png,126.31215,125.184586,118.36676,69133
Stage_1_ROP_47.png,109.26086,102.2259,94.109886,50434
Stage_1_ROP_47.png,134.79079,147.85498,147.25009,34955
Stage_1_ROP_47.png,82.610344,76.80894,73.43674,31623
Stage_1_ROP_48.png,145.65935,119.119064,110.63402,53174
Stage_1_ROP_48.png,158.88742,159.80083,162.53162,52956
Stage_1_ROP_48.png,96.3734,78.59263,76.15022,41564
Stage_1_ROP_48.png,197.11578,203.2482,206.13747,39591
Stage_1_ROP_49.png,147.3129,130.93634,128.84338,65343
Stage_1_ROP_49.png,95.439804,98.846146,103.00145,54472
Stage_1_ROP_49.png,122.61115,113.85642,113.6252,42081
Stage_1_ROP_49.png,185.23438,145.72272,133.38063,24620
Stage_1_ROP_5.png,223.015,167.37094,183.37184,63903
Stage_1_ROP_5.png,98.834305,78.87569,94.02104,55608
Stage_1_ROP_5.png,156.12262,119.10392,136.84668,44919
Stage_1_ROP_5.png,216.6884,124.82422,98.20778,40596
Stage_1_ROP_50.png,157.12411,140.96979,126.92485,55354
Stage_1_ROP_50.png,106.34686,112.52186,108.37511,50207
Stage_1_ROP_50.png,137.9837,113.01667,95.33711,44410
Stage_1_ROP_50.png,98.24574,86.00169,77.196655,37202
Stage_1_ROP_51.png,136.15567,125.347946,115.58667,71416
Stage_1_ROP_51.png,105.42519,104.03275,98.24219,60152
Stage_1_ROP_51.png,82.03357,74.05098,71.09199,30384
Stage_1_ROP_51.png,168.69095,127.54584,111.328476,25037
Stage_1_ROP_52.png,164.43034,118.98068,101.238754,61181
Stage_1_ROP_52.png,100.330765,87.03819,86.2706,53881
Stage_1_ROP_52.png,148.79428,147.94385,148.78954,40725
Stage_1_ROP_52.png,196.07478,188.90549,177.36836,32028
Stage_1_ROP_53.png,117.72248,121.085266,133.13564,52656
Stage_1_ROP_53.png,146.79526,95.95985,87.06742,51406
Stage_1_ROP_53.png,87.60211,64.247795,61.870914,41700
Stage_1_ROP_53.png,91.607124,93.03035,104.784454,39898
Stage_1_ROP_54.png,128.87497,127.56923,138.33542,57747
Stage_1_ROP_54.png,105.1375,90.908005,97.31057,50315
Stage_1_ROP_54.png,72.86505,54.18377,56.642292,43675
Stage_1_ROP_54.png,179.02486,112.45456,102.09604,34277
Stage_1_ROP_55.png,124.75211,123.9156,115.91802,55294
Stage_1_ROP_55.png,241.07616,167.29814,117.50884,51182
Stage_1_ROP_55.png,92.56687,96.20267,91.6975,43726
Stage_1_ROP_55.png,185.48035,142.1404,111.14457,36011
Stage_1_ROP_56.png,179.19043,137.05705,105.84239,70701
Stage_1_ROP_56.png,81.96333,66.92366,55.437336,57221
Stage_1_ROP_56.png,131.9061,100.940674,79.52761,50551
Stage_1_ROP_56.png,221.69922,165.45184,125.10189,23849
Stage_1_ROP_57.png,137.52547,96.45641,120.29792,54179
Stage_1_ROP_57.png,160.14096,121.34687,151.76515,54159
Stage_1_ROP_57.png,171.68384,108.185555,116.71389,47150
Stage_1_ROP_57.png,108.69257,78.79316,98.840706,29864
Stage_1_ROP_58.png,139.13669,129.63176,80.15085,58939
Stage_1_ROP_58.png,127.510506,107.52569,63.628,58819
Stage_1_ROP_58.png,167.06548,128.54893,72.82463,34465
Stage_1_ROP_58.png,98.14696,81.48368,51.251026,34411
Stage_1_ROP_59.png,158.31049,148.96277,136.77046,60469
Stage_1_ROP_59.png,134.12057,125.032455,113.482506,44893
